index	block	species	chr	chr_beg	chr_end	orientation
10767	1907	GCA_000012025	1	652848	654862	+
442297	1360	GCA_000012025	1	665044	666228	+
18670	805	GCA_000012025	1	666719	667952	-
90744	615	GCA_000012025	1	1600045	1603577	-
442362	1362	GCA_000012025	1	1606494	1607562	+
89711	618	GCA_000012025	1	1632430	1633668	-
89900	618	GCA_000020185	1	1526697	1527936	+
442382	1362	GCA_000020185	1	1541832	1542901	-
90933	615	GCA_000020185	1	1547071	1550604	+
18857	805	GCA_000020185	1	2391226	2392459	+
442328	1360	GCA_000020185	1	2392950	2394133	-
159543	436	GCA_000020185	1	2405140	2407906	-
10768	1907	GCA_001027225	1	674995	677009	+
442339	1360	GCA_001027225	1	687436	688620	+
18928	805	GCA_001027225	1	689111	690344	-
91004	615	GCA_001027225	1	1627226	1630758	-
442390	1362	GCA_001027225	1	1633675	1634743	+
89971	618	GCA_001027225	1	1659616	1660854	-
