Seq_id	Size	Description
2	3685	CP045939.1
3	4052	CP053759.1
9	163875	CP026790.1
10	40442	CP019691.1
11	66520	CP022461.1
15	5126	CP023650.1
20	5153	HE616530.1
21	5153	CP000642.1
25	7437	CP001061.1
26	3054	CP034064.1
28	7206	CP060118.1
29	3193	CP058592.1
30	3180	CP054915.1
33	5219	CP053757.1
37	33103	CP001059.1
39	3128	CP042978.1
41	5114	CP023651.1
42	5996	CP037999.1
44	5114	CP053758.1
45	5114	CP019693.1
47	59694	CP044159.1
48	5114	CP001060.1
49	18949	CP026801.1
50	55820	CP022458.1
51	41962	CP012143.1
52	24419	CP012736.1
53	108080	LR213459.1
54	109065	CP034066.1
55	108086	CP045933.1
56	78308	CP020344.1
57	5114	CP045938.1
58	68674	CP049607.1
59	71921	CP026770.1
60	115128	CP026778.1
61	73096	CP020340.1
62	59559	CP019690.1
63	5219	CP045937.1
64	82828	CP014096.2
65	83293	CP049170.1
66	69460	CP049164.1
67	71053	CP034932.1
68	83263	CP045525.2
69	83548	CP045943.1
70	57073	CP045935.1
71	80987	CP045934.1
72	76615	LR213457.1
73	91948	LR213460.1
74	82887	LR213453.1
75	81654	CP058590.1
76	83337	CP049172.1
77	80216	CP053755.1
78	88010	CP053754.1
79	86136	CP049180.1
80	83222	CP049186.1
81	79791	CP044156.1
82	88076	CP041621.1
83	85423	CP035009.1
84	57813	CP034061.1
85	115918	CP024468.1
86	83905	LR213461.1
87	74389	CP049166.1
88	47676	CP020341.1
89	47674	CP020088.1
90	92700	CP020338.1
91	8904	HE616532.1
92	87739	CP022456.1
93	67713	CP049168.1
94	69446	LR213454.1
95	4762774	CP055292.1
97	223395	CP034933.1
98	210892	CP001062.1
99	4653782	CP034931.1
100	4538615	CP044152.1
101	86130	CP049176.1
102	4926443	CP060117.1
103	4531272	CP026810.1
104	226601	CP044157.1
105	4488529	CP026797.1
106	86407	CP012139.1
107	224419	CP026833.1
108	4682307	CP058589.1
109	234158	LR213456.1
110	4858552	CP045526.1
111	137368	CP045523.1
112	4463322	LR213452.1
113	223637	CP045785.1
114	4631337	CP026792.1
115	214369	CP000039.1
