index	block	species	chr	chr_beg	chr_end	orientation
121081	541	GCA_000012005	1	1802360	1807115	-
442380	1362	GCA_000012005	1	1815875	1816935	+
18827	805	GCA_000012005	1	1821901	1823137	-
299715	348	GCA_000012005	1	2552225	2553591	-
442325	1360	GCA_000012005	1	2554919	2556102	-
295987	339	GCA_000012005	1	2562932	2566789	+
121036	541	GCA_000497505	1	1763885	1768565	-
442373	1362	GCA_000497505	1	1777077	1778137	+
18783	805	GCA_000497505	1	1782902	1784138	-
299670	348	GCA_000497505	1	2506834	2508200	-
442314	1360	GCA_000497505	1	2509528	2510711	-
295942	339	GCA_000497505	1	2516963	2520733	+
