	AssemblyID	GenBankID	ChrType	FeatureName	FeatureStart	FeatureEnd
0	GCA_000006925	AE005674	Chromosome	SI#8; ipaH island I	714171	749781
1	GCA_000006925	AE005674	Chromosome	ipaH_1	747913	749677
2	GCA_000006925	AE005674	Chromosome	ipaH_2	918847	920658
3	GCA_000006925	AE005674	Chromosome	invasion plasmid antigen	1224071	1225115
4	GCA_000006925	AE005674	Chromosome	SI#19; ipaH island II	1402372	1424262
5	GCA_000006925	AE005674	Chromosome	ipaH_3	1422063	1423779
6	GCA_000006925	AE005674	Chromosome	SI#31; ipaH island III	1914920	1921791
7	GCA_000006925	AE005674	Chromosome	ipaH_4	1917921	1919673
8	GCA_000006925	AE005674	Chromosome	SI#34; ipaH island IV	2046252	2069131
9	GCA_000006925	AE005674	Chromosome	ipaH_5	2046531	2049513
10	GCA_000006925	AE005674	Chromosome	ipaH_6	2229257	2232239
11	GCA_000006925	AE005674	Chromosome	SI#44; ipaH island V	2685385	2696907
12	GCA_000006925	AE005674	Chromosome	ipaH_7	2685871	2687698
13	GCA_000006925	AF386526	Plasmid	ipaH2.5	41196	42888
14	GCA_000006925	AF386526	Plasmid	ipaH7.8	62213	63911
15	GCA_000006925	AF386526	Plasmid	ipaH4.5	64338	66063
16	GCA_000006925	AF386526	Plasmid	ipaJ	104065	104845
17	GCA_000006925	AF386526	Plasmid	ipaH9.8	181457	183095
18	GCA_000006925	AF386526	Plasmid	ipaH1.4	213151	214879
19	GCA_000007405	AE014073	Chromosome	ipaH_1	744071	745834
20	GCA_000007405	AE014073	Chromosome	ipaH_2	913647	915474
21	GCA_000007405	AE014073	Chromosome	ipaH_3	1227395	1228004
22	GCA_000007405	AE014073	Chromosome	ipaH_4	1887118	1888870
23	GCA_000007405	AE014073	Chromosome	ipaH_5	2023204	2024848
24	GCA_000007405	AE014073	Chromosome	ipaH_6	2210016	2211659
25	GCA_000007405	AE014073	Chromosome	ipaH_7	2679456	2681283
26	GCA_000012005	CP000034	Chromosome	ipaH_1	778895	780659
27	GCA_000012005	CP000034	Chromosome	ipaH_2	791513	794546
28	GCA_000012005	CP000034	Chromosome	ipaH_3	998208	999369
29	GCA_000012005	CP000034	Chromosome	ipaH_4	1812688	1814404
30	GCA_000012005	CP000034	Chromosome	ipaH_5	1816132	1817884
31	GCA_000012005	CP000034	Chromosome	ipaH_6	2555308	2557135
32	GCA_000012005	CP000035	Plasmid	ipaH4.5	32656	34381
33	GCA_000012005	CP000035	Plasmid	ipaH7.8	34808	36506
34	GCA_000012005	CP000035	Plasmid	ipaH1.4	40413	42162
35	GCA_000012005	CP000035	Plasmid	ipaH9.8	77121	78789
36	GCA_000012005	CP000035	Plasmid	ipaH	110426	111971
37	GCA_000012005	CP000035	Plasmid	ipaJ	126260	126944
38	GCA_000012025	CP000036	Chromosome	ipaH_1	664011	665838
39	GCA_000012025	CP000036	Chromosome	ipaH_2	984406	986050
40	GCA_000012025	CP000036	Chromosome	ipaH_3	1044319	1045963
41	GCA_000012025	CP000036	Chromosome	ipaH_4	1251633	1253349
42	GCA_000012025	CP000036	Chromosome	ipaH_5	1606759	1608511
43	GCA_000012025	CP000036	Chromosome	ipaH_6	2054931	2056695
44	GCA_000012025	CP000037	Plasmid	ipaH1.4	43043	44771
45	GCA_000012025	CP000037	Plasmid	ipaH4.5	48873	50598
46	GCA_000012025	CP000037	Plasmid	ipaH7.8	51025	52723
47	GCA_000012025	CP000037	Plasmid	ipaH9.8	92515	94153
48	GCA_000013585	CP000266	Chromosome	ipaH_1	774856	776683
49	GCA_000013585	CP000266	Chromosome	ipaH	1240753	1241788
50	GCA_000013585	CP000266	Chromosome	ipaH_2	1433428	1435084
51	GCA_000013585	CP000266	Chromosome	ipaH_3	1918540	1920292
52	GCA_000013585	CP000266	Chromosome	ipaH_4	2055195	2056839
53	GCA_000013585	CP000266	Chromosome	ipaH_5	2219608	2221252
54	GCA_000013585	CP000266	Chromosome	ipaH_6	2681568	2683395
55	GCA_000013585	CP000266	Chromosome	ipaH_7	2803568	2805332
56	GCA_000020185	CP001063	Chromosome	invasion plasmid antigen	669099	670431
57	GCA_000020185	CP001063	Chromosome	invasion plasmid antigen	938733	940377
58	GCA_000020185	CP001063	Chromosome	invasion plasmid antigen	1540883	1542635
59	GCA_000020185	CP001063	Chromosome	invasion plasmid antigen	1918644	1920351
60	GCA_000020185	CP001063	Chromosome	invasion plasmid antigen	2393354	2395166
61	GCA_000020185	CP001062	Plasmid	IpaH1.4	53891	55619
62	GCA_000020185	CP001062	Plasmid	IpaH7.8	82543	84241
63	GCA_000020185	CP001062	Plasmid	invasion plasmid antigen	84668	86393
64	GCA_000020185	CP001062	Plasmid	IpaJ, invasion plasmid antigen	99339	100119
65	GCA_000020185	CP001062	Plasmid	invasion plasmid antigen	170104	171742
66	GCA_000020185	CP001062	Plasmid	invasion plasmid antigen	203730	203865
67	GCA_000022245	CP001384	Plasmid	ipaH2.5	41191	42883
68	GCA_000022245	CP001384	Plasmid	ipaH	45695	45830
69	GCA_000022245	CP001384	Plasmid	ipaH7.8	62206	63904
70	GCA_000022245	CP001384	Plasmid	ipaH4.5	64331	66056
71	GCA_000022245	CP001384	Plasmid	ipaH	74820	75075
72	GCA_000022245	CP001384	Plasmid	ipaJ	102779	103508
73	GCA_000022245	CP001384	Plasmid	ipaH9.8	181387	183025
74	GCA_000022245	CP001384	Plasmid	ipaH1.4	213033	214761
75	GCA_000092525	CP000038	Chromosome	ipaH_1	794173	795937
76	GCA_000092525	CP000038	Chromosome	ipaH_2	1346059	1347811
77	GCA_000092525	CP000038	Chromosome	ipaH_3	1390132	1391848
78	GCA_000092525	CP000038	Chromosome	ipaH_4	2282459	2284103
79	GCA_000092525	CP000038	Chromosome	ipaH_5	2804967	2806794
80	GCA_000092525	CP000039	Plasmid	ipaH7.8	53670	55368
81	GCA_000092525	CP000039	Plasmid	ipaH4.5	55795	57520
82	GCA_000092525	CP000039	Plasmid	ipaJ	77286	78066
83	GCA_000092525	CP000039	Plasmid	ipaH9.8	146463	148101
84	GCA_000092525	CP000039	Plasmid	ipaH1.4	185349	187077
85	GCA_000497505	CP006736	Chromosome	Invasion plasmid antigen IpaH	767080	768142
86	GCA_000497505	CP006736	Chromosome	Invasion plasmid antigen IpaH	1116329	1117472
87	GCA_000497505	CP006736	Chromosome	Invasion plasmid antigen IpaH	1774836	1775601
88	GCA_000497505	CP006736	Chromosome	Invasion plasmid antigen IpaH	2509917	2511366
89	GCA_000497505	CP006737	Plasmid	Invasion plasmid antigen IpaH	75039	75627
90	GCA_000743955	CP004056	Chromosome	invasion plasmid antigen	727427	728342
91	GCA_000743955	CP004056	Chromosome	invasion plasmid antigen / internalin, putative	728383	729193
92	GCA_000743955	CP004056	Chromosome	invasion plasmid antigen	897011	897464
93	GCA_000743955	CP004056	Chromosome	invasion plasmid antigen	1247582	1248626
94	GCA_000743955	CP004056	Chromosome	invasion plasmid antigen	1444240	1444435
95	GCA_000743955	CP004056	Chromosome	invasion plasmid antigen	1444392	1445154
96	GCA_000743955	CP004056	Chromosome	invasion plasmid antigen	1937900	1939025
97	GCA_000743955	CP004056	Chromosome	invasion plasmid antigen	2066555	2067533
98	GCA_000743955	CP004056	Chromosome	invasion plasmid antigen	2234458	2235436
99	GCA_000743955	CP004056	Chromosome	IpaH 6	2688635	2689589
100	GCA_000743995	CP004057	Chromosome	invasion plasmid antigen	746046	747084
101	GCA_000743995	CP004057	Chromosome	invasion plasmid antigen	915625	916492
102	GCA_000743995	CP004057	Chromosome	invasion plasmid antigen	1266271	1267315
103	GCA_000743995	CP004057	Chromosome	E3 ubiquitin-protein ligase ipaH3	1462917	1464624
104	GCA_000743995	CP004057	Chromosome	invasion plasmid antigen	1957909	1959034
105	GCA_000743995	CP004057	Chromosome	invasion plasmid antigen	2087895	2088873
106	GCA_000743995	CP004057	Chromosome	invasion plasmid antigen	2258430	2259408
107	GCA_000743995	CP004057	Chromosome	E3 ubiquitin-protein ligase ipaH9.8	2712554	2713373
108	GCA_000783735	CP026098	Chromosome	IpaH-like protein	2721552	2721954
109	GCA_000953035	LM651928	Chromosome	ipaH_6	709211	710672
110	GCA_000953035	LM651928	Chromosome	ipaH_1_1	869201	871013
111	GCA_000953035	LM651928	Chromosome	ipaH	1182523	1183558
112	GCA_000953035	LM651928	Chromosome	ipaH_4	1384271	1385987
113	GCA_000953035	LM651928	Chromosome	IpaH7.8,Probable E3 ubiquitin-protein ligase ipaH7.8	1759071	1759551
114	GCA_000953035	LM651928	Chromosome	invasion plasmid antigen,E3 ubiquitin-protein ligase ipaH9.8,E3 ubiquitin-protein ligase SlrP,Type III secretion system leucine rich repeat protein	1876425	1878177
115	GCA_000953035	LM651928	Chromosome	ipaH3_1	2005034	2006678
116	GCA_000953035	LM651928	Chromosome	ipaH3_2	2193530	2195174
117	GCA_000953035	LM651928	Chromosome	ipaH_1_2	2647608	2649420
118	GCA_001021855	CP007037	Chromosome	E3 ubiquitin-protein ligase ipaH3	730308	732072
119	GCA_001021855	CP007037	Chromosome	E3 ubiquitin-protein ligase ipaH3	1412549	1414256
120	GCA_001021855	CP007037	Chromosome	IpaH-like protein	1773749	1774229
121	GCA_001021855	CP007037	Chromosome	E3 ubiquitin-protein ligase ipaH3	1902237	1903989
122	GCA_001021855	CP007037	Chromosome	E3 ubiquitin-protein ligase ipaH3	2030072	2031716
123	GCA_001021855	CP007037	Chromosome	E3 ubiquitin-protein ligase ipaH3	2212380	2214024
124	GCA_001021855	CP007038	Plasmid	E3 ubiquitin-protein ligase ipaH3	62980	64639
125	GCA_001021855	CP007038	Plasmid	E3 ubiquitin-protein ligase ipaH3	70713	72090
126	GCA_001021855	CP007038	Plasmid	type III secretion system protein SpaS	133489	134518
127	GCA_001021855	CP007038	Plasmid	E3 ubiquitin-protein ligase ipaH3	180566	182204
128	GCA_001021855	CP007038	Plasmid	E3 ubiquitin-protein ligase ipaH3	212258	213944
129	GCA_001518855	CP010829	Chromosome	invasion plasmid antigen / internalin, putative	1348155	1349907
130	GCA_001518855	CP010829	Chromosome	invasion plasmid antigen	1392273	1393989
131	GCA_001518855	CP010829	Chromosome	invasion plasmid antigen / internalin, putative	2284608	2286252
132	GCA_001518855	CP010830	Plasmid	invasion plasmid antigen / internalin, putative	15	705
133	GCA_001518855	CP010830	Plasmid	invasion plasmid antigen / internalin, putative	659	1715
134	GCA_001518855	CP010830	Plasmid	invasion plasmid antigen / internalin, putative	82704	84432
135	GCA_001518855	CP010830	Plasmid	invasion plasmid antigen	121680	123327
136	GCA_001518855	CP010830	Plasmid	invasion plasmid antigen / internalin, putative	212432	214157
137	GCA_001518855	CP010830	Plasmid	invasion plasmid antigen / internalin, putative	214584	215376
138	GCA_001558295	CP014099	Chromosome	IpaH-like protein	1102838	1103343
139	GCA_001558295	CP014099	Chromosome	invasion plasmid antigen	2053074	2054838
140	GCA_001578125	CP012735	Chromosome	IpaH-like protein	4121253	4121733
141	GCA_001579965	CP012140	Chromosome	IpaH-like protein	1446397	1446877
142	GCA_001580175	CP012137	Chromosome	IpaH-like protein	1837005	1837485
143	GCA_002142635	CP021144	Chromosome	IpaH-like protein	865468	865973
144	GCA_002142635	CP021144	Chromosome	invasion plasmid antigen	4787010	4788774
145	GCA_002150905	CP019689	Chromosome	invasion plasmid antigen	3495852	3497616
146	GCA_002174695	CP037996	Chromosome	invasion plasmid antigen	2072008	2073772
147	GCA_002174695	CP037996	Chromosome	ipaH3	2793924	2795640
148	GCA_002224465	CP022459	Chromosome	IpaH-like protein	1094376	1094881
149	GCA_002224465	CP022459	Chromosome	invasion plasmid antigen	2049018	2050782
150	GCA_002224605	CP022455	Chromosome	IpaH-like protein	749257	749762
151	GCA_002224605	CP022455	Chromosome	invasion plasmid antigen	4620071	4621835
152	GCA_002224625	CP022457	Chromosome	invasion plasmid antigen	2823552	2825316
153	GCA_002224625	CP022457	Chromosome	IpaH-like protein	3816074	3816579
154	GCA_002240075	CP020336	Chromosome	invasion plasmid antigen	863242	865006
155	GCA_002240075	CP020336	Chromosome	IpaH-like protein	1946606	1947086
156	GCA_002240095	CP020339	Chromosome	invasion plasmid antigen	40393	42157
157	GCA_002240095	CP020339	Chromosome	IpaH-like protein	1120260	1120740
158	GCA_002240115	CP020342	Chromosome	IpaH-like protein	3164798	3165278
159	GCA_002240115	CP020342	Chromosome	invasion plasmid antigen	4255091	4256855
160	GCA_002240135	CP020086	Chromosome	IpaH-like protein	2555659	2556139
161	GCA_002240135	CP020086	Chromosome	invasion plasmid antigen	3653678	3655442
162	GCA_002442535	CP023645	Chromosome	IpaH-like protein	2078850	2079355
163	GCA_002442535	CP023645	Chromosome	invasion plasmid antigen	3031709	3033473
164	GCA_002442995	CP020753	Chromosome	invasion plasmid antigen	788112	789876
165	GCA_002442995	CP020753	Chromosome	ipaH3	1426996	1428712
166	GCA_002442995	CP030773	Plasmid	ipaH4.5	58792	60517
167	GCA_002442995	CP030773	Plasmid	ipaH7.8	60942	62640
168	GCA_002442995	CP030773	Plasmid	ipaH9.8	180773	182411
169	GCA_002735385	CP037997	Chromosome	ipaH3	2714369	2716086
170	GCA_003265245	CP022672	Chromosome	invasion plasmid antigen	1532200	1533964
171	GCA_003265245	CP022672	Chromosome	IpaH-like protein	2489372	2489877
172	GCA_003606425	CP032523	Chromosome	invasion plasmid antigen	3007053	3008817
173	GCA_003719775	CP033510	Chromosome	invasion plasmid antigen	185522	187274
174	GCA_003719775	CP033510	Chromosome	invasion plasmid antigen	3694097	3695861
175	GCA_003855115	CP034067	Chromosome	invasion plasmid antigen	249644	251408
176	GCA_003855135	CP034060	Chromosome	invasion plasmid antigen	2252690	2254442
177	GCA_004328985	CP035008	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH3	2415512	2417228
178	GCA_004328985	CP035008	Chromosome	invasion plasmid antigen	3009296	3011060
179	GCA_004799585	CP037923	Chromosome	ipaH3	1780992	1782648
180	GCA_004799585	CP037924	Plasmid	ipaH4.5	23697	25422
181	GCA_004799585	CP037924	Plasmid	ipaH7.8	25849	27547
182	GCA_004799585	CP037924	Plasmid	ipaH9.8	129121	130759
183	GCA_006843305	CP041322	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH9.8	2997581	2999333
184	GCA_006843305	CP041322	Chromosome	ipaH3	3044345	3046061
185	GCA_008370775	CP042980	Chromosome	invasion plasmid antigen	717957	719721
186	GCA_008370775	CP042980	Chromosome	ipaH3	1400700	1402416
187	GCA_008370775	CP042980	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH9.8	1890460	1892212
188	GCA_009662135	CP045784	Chromosome	ipaH3	4019752	4021468
189	GCA_009662135	CP045784	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH2	4167945	4169697
190	GCA_009662135	CP045785	Plasmid	ipaH4.5	8506	10231
191	GCA_009662135	CP045785	Plasmid	ipaH7.8	10658	12356
192	GCA_009662135	CP045785	Plasmid	ipaH9.8	135459	137097
193	GCA_009664515	CP045932	Chromosome	ipaH3	1879929	1881645
194	GCA_009664535	CP045941	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH4/H7	1746047	1747691
195	GCA_009664535	CP045941	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH4/H7	1923427	1925071
196	GCA_009664535	CP045941	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH2	2053406	2055158
197	GCA_009664535	CP045942	Plasmid	ipaH7.8	78512	80210
198	GCA_009664535	CP045942	Plasmid	ipaH4.5	80637	82362
199	GCA_009664535	CP045942	Plasmid	ipaH9.8	198621	200259
200	GCA_009729995	CP046286	Chromosome	invasion plasmid antigen	3947399	3949163
201	GCA_009729995	CP046286	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH2	4496733	4498485
202	GCA_009729995	CP046286	Chromosome	ipaH3	4540858	4542574
203	GCA_009729995	CP046285	Plasmid	ipaH7.8	114709	116407
204	GCA_009729995	CP046285	Plasmid	ipaH4.5	116834	118559
205	GCA_009729995	CP046285	Plasmid	ipaH9.8	208130	209768
206	GCA_009931475	CP045522	Chromosome	ipaH3	2574828	2576544
207	GCA_009931495	CP045524	Chromosome	ipaH3	1293842	1295558
208	GCA_009931495	CP045524	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH2	1337914	1339666
209	GCA_009931495	CP045524	Chromosome	invasion plasmid antigen	1887655	1889419
210	GCA_009931515	CP045526	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH2	205549	207302
211	GCA_009931515	CP045526	Chromosome	ipaH3	252319	254035
212	GCA_009931515	CP045526	Chromosome	invasion plasmid antigen	4525952	4527716
213	GCA_013146725	CP049163	Chromosome	ipaH3	545453	547169
214	GCA_013146725	CP049163	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH2	592185	593937
215	GCA_013146725	CP049163	Chromosome	invasion plasmid antigen	1126723	1128487
216	GCA_013146745	CP049165	Chromosome	ipaH3	1316539	1318255
217	GCA_013146745	CP049165	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH2	1360620	1362374
218	GCA_013146745	CP049165	Chromosome	invasion plasmid antigen	1911506	1913271
219	GCA_013146765	CP049167	Chromosome	ipaH3	3290809	3292524
220	GCA_013146765	CP049167	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH2	3334889	3336641
221	GCA_013146785	CP049169	Chromosome	ipaH3	4012154	4013870
222	GCA_013146785	CP049169	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH2	4056225	4057978
223	GCA_013146785	CP049169	Chromosome	invasion plasmid antigen	4605975	4607739
224	GCA_013146805	CP049171	Chromosome	invasion plasmid antigen	3224357	3226121
225	GCA_013146805	CP049171	Chromosome	ipaH3	3818219	3819936
226	GCA_013146845	CP049185	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH2	347860	349613
227	GCA_013146845	CP049185	Chromosome	ipaH3	391968	393684
228	GCA_013146845	CP049185	Chromosome	invasion plasmid antigen	4648973	4650738
229	GCA_013147065	CP049173	Chromosome	ipaH3	1564769	1566484
230	GCA_013147065	CP049173	Chromosome	invasion plasmid antigen	2145366	2147130
231	GCA_013147165	CP049175	Chromosome	ipaH3	229748	231463
232	GCA_013147165	CP049175	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH2	273826	275578
233	GCA_013147165	CP049175	Chromosome	invasion plasmid antigen	823581	825345
234	GCA_013147185	CP049177	Chromosome	invasion plasmid antigen	1235769	1237533
235	GCA_013147185	CP049177	Chromosome	ipaH3	1829648	1831364
236	GCA_013147205	CP049179	Chromosome	ipaH3	4203865	4205581
237	GCA_013147205	CP049179	Chromosome	invasion plasmid antigen	4797705	4799469
238	GCA_013201485	CP053751	Chromosome	invasion plasmid antigen	1760740	1762504
239	GCA_013201485	CP053751	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH2	2295293	2297045
240	GCA_013201485	CP053751	Chromosome	ipaH3	2342062	2343778
241	GCA_013201485	CP053752	Plasmid	ipaH1.4	16477	18205
242	GCA_013201485	CP053752	Plasmid	ipaH9.8	55407	57045
243	GCA_013201485	CP053752	Plasmid	ipaH4.5	146196	147921
244	GCA_013201485	CP053752	Plasmid	ipaH7.8	148348	150046
245	GCA_013364115	CP054913	Chromosome	invasion plasmid antigen	2051436	2053200
246	GCA_013364115	CP054913	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH2	3153204	3154956
247	GCA_013364115	CP054913	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH4/H7	3458698	3460342
248	GCA_013394495	CP049606	Chromosome	ipaH3	1991611	1993327
249	GCA_013394515	CP049278	Chromosome	ipaH3	2209652	2211368
250	GCA_013394515	CP049278	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH4/H7	3237543	3239187
251	GCA_013394515	CP049278	Chromosome	invasion plasmid antigen	3629762	3631589
252	GCA_013394515	CP049279	Plasmid	ipaH1.4	100374	102102
253	GCA_013394515	CP049279	Plasmid	ipaH7.8	107405	109103
254	GCA_013394515	CP049279	Plasmid	ipaH4.5	109530	111255
255	GCA_013394515	CP049279	Plasmid	ipaH9.8	189931	191569
256	GCA_013394535	CP049281	Chromosome	ipaH3	2434378	2436094
257	GCA_013394535	CP049282	Plasmid	ipaH7.8	112718	114416
258	GCA_013394535	CP049282	Plasmid	ipaH4.5	114843	116568
259	GCA_013394535	CP049282	Plasmid	ipaH9.8	200275	201913
260	GCA_013394555	CP049285	Chromosome	ipaH3	1850725	1852441
261	GCA_013394555	CP049286	Plasmid	ipaH7.8	35157	36855
262	GCA_013394555	CP049286	Plasmid	ipaH4.5	37282	39007
263	GCA_013394555	CP049286	Plasmid	ipaH9.8	118746	120384
264	GCA_013402835	CP058589	Chromosome	ipaH3	1509095	1510811
265	GCA_013402835	CP058589	Chromosome	T3SS effector E3 ubiquitin-protein ligase IpaH2	2005999	2007751
