block	species	chr	chr_beg	chr_end	orientation
1709	CP027027	1	2539440	2540527	+
1709	CP027027	1	3431976	3433059	-
1708	CP027027	1	1039485	1040743	+
1708	CP027027	1	3128348	3129590	+
1707	CP026803	1	2532843	2534040	+
1707	CP026774	1	3705849	3707077	-
1706	CP026803	1	1894389	1895401	+
1706	CP026803	1	4015361	4016390	+
1705	CP026803	1	1847930	1849169	+
1705	CP026803	1	2124057	2125281	+
1704	CP026803	1	863254	864454	+
1704	CP026803	1	2930168	2931366	+
1704	CP026803	1	4299169	4300366	+
1703	CP026803	1	147594	148601	+
1703	CP026803	1	3218198	3219205	+
1702	CP026803	1	57912	58946	+
1702	CP026803	1	106265	107300	-
1702	CP026803	1	312712	313731	-
1702	CP026803	1	489505	490539	+
1702	CP026803	1	926933	927968	-
1702	CP026803	1	1050499	1051534	-
1702	CP026803	1	1713761	1714796	-
1702	CP026803	1	3840191	3841226	-
1702	CP026803	1	4396070	4397089	-
1701	CP026878	1	2101541	2102693	+
1701	CP026780	1	337984	339136	-
1700	CP026878	1	969544	970564	+
1700	CP026780	1	1470148	1471169	-
1699	CP026878	1	782724	783926	+
1699	CP026786	1	4207645	4208847	+
1699	CP026780	1	1656790	1657992	-
1698	CP026878	1	34257	35322	+
1698	CP026786	1	3465887	3466952	+
1698	CP026780	1	2405388	2406453	-
1698	CP026777	1	374573	375638	-
1697	CP014768	1	3055881	3057322	+
1697	CP014768	1	3297976	3299419	+
1696	CP026765	1	2202758	2203764	+
1696	CP026768	1	538427	539433	-
1696	CP020753	1	1885281	1886287	+
1695	CP026846	1	1820478	1821672	+
1695	CP026846	1	4725064	4726256	+
1694	CP022459	1	1546500	1547541	+
1694	CP026846	1	1775565	1776606	+
1693	CP026762	1	2636889	2638001	+
1693	CP026762	1	2679352	2680466	+
1692	CP011511	1	3622868	3623976	+
1692	CP026731	1	1021361	1022468	-
1691	CP026830	1	59567	60622	+
1691	CP026830	1	79338	80393	-
1690	LR213458	1	2416724	2417885	+
1690	CP022459	1	4761007	4762162	+
1690	CP022455	1	1886331	1887486	-
1690	CP026846	1	1930784	1931945	-
1690	CP027027	1	1797553	1798719	+
1689	CP034935	1	4493137	4495496	+
1689	CP026805	1	1085432	1087790	-
1688	CP034935	1	4484044	4491752	+
1688	CP026805	1	1089175	1096883	-
1687	CP034935	1	2877708	2878987	+
1687	CP026805	1	2773141	2774420	-
1686	CP026766	1	4104846	4106235	+
1686	CP011511	1	938758	940147	-
1685	CP045784	1	3708869	3719457	+
1685	CP026825	1	3733566	3744151	-
1684	CP026828	1	2676909	2678084	+
1684	CP026828	1	4440460	4441636	-
1684	CP026766	1	1346634	1347808	-
1683	CP026828	1	2617872	2619212	+
1683	CP027027	1	3829952	3831293	-
1682	CP026877	1	4751689	4753473	+
1682	CP026877	1	5080945	5082733	+
1681	CP026877	1	4724011	4749354	+
1681	CP026877	1	5053825	5079170	+
1680	CP026877	1	1794999	1797990	+
1680	CP026845	1	4482625	4485606	-
1680	CP026846	1	3508166	3511157	+
1679	CP026877	1	1789786	1792003	+
1679	CP026845	1	4487337	4489553	-
1679	CP026846	1	3504204	3506437	+
1678	CP026877	1	1646775	1647943	+
1678	CP026845	1	4600292	4601459	-
1678	CP027027	1	2654475	2655643	+
1677	CP026877	1	1044101	1045247	+
1677	CP026877	1	1371871	1373019	+
1676	CP026877	1	948105	971274	+
1676	CP026845	1	4759807	4784424	+
1675	CP026877	1	941108	945092	+
1675	CP026845	1	4752781	4756756	+
1674	CP026876	1	9046	10080	+
1674	CP026877	1	2922026	2923051	+
1673	CP026827	1	2749484	2750709	+
1673	CP026846	1	2764672	2765871	+
1673	CP026846	1	2787951	2789150	+
1672	CP026827	1	1315367	1316685	+
1672	CP026827	1	1428106	1429426	+
1672	CP026827	1	2217044	2218365	+
1672	CP026827	1	3203883	3205204	+
1672	CP026768	1	1611219	1612532	+
1672	CP001063	1	2346940	2348256	-
1671	CP026827	1	1179317	1180364	+
1671	CP026827	1	1954855	1955889	+
1671	CP026827	1	4291462	4292481	+
1670	CP026827	1	694147	695380	+
1670	CP026827	1	2248919	2250180	-
1669	CP026827	1	427226	428260	+
1669	CP026827	1	3746192	3747227	-
1668	CP026831	1	2773891	2774905	+
1668	CP026831	1	3605013	3606027	+
1668	CP026831	1	3874170	3875184	+
1668	CP026831	1	4062506	4063520	+
1667	CP026831	1	2454767	2456193	+
1667	CP026831	1	3012357	3013799	+
1666	CP026831	1	2010344	2011356	+
1666	CP026831	1	4263141	4264155	-
1665	CP026831	1	1742546	1745341	+
1665	CP026827	1	1626531	1629340	-
1664	CP026831	1	1572795	1577940	+
1664	CP026828	1	2575665	2580811	+
1663	CP026831	1	1571658	1572793	+
1663	CP026828	1	2573187	2574332	+
1662	CP026831	1	1565036	1569941	+
1662	CP026828	1	2567247	2572150	+
1661	CP026831	1	1478664	1480116	+
1661	CP026827	1	1643555	1645010	-
1660	CP026831	1	693069	695185	+
1660	CP026803	1	3056893	3059171	-
1659	CP026831	1	691726	692739	+
1659	CP026831	1	1130746	1131759	+
1659	CP026831	1	1623679	1624690	+
1659	CP026831	1	4202492	4203506	-
1658	CP026831	1	436877	437905	+
1658	CP026831	1	1608083	1609095	+
1658	CP026831	1	3826005	3827017	+
1658	CP026831	1	3969058	3970071	-
1658	CP026831	1	4120883	4121896	-
1658	CP026831	1	4303855	4304868	-
1658	CP026831	1	4563904	4564917	-
1657	CP026831	1	135360	136374	+
1657	CP026831	1	233178	234190	+
1657	CP026831	1	1872616	1873630	+
1657	CP026831	1	2037276	2038290	+
1657	CP026831	1	2324540	2325553	-
1657	CP026831	1	2439901	2440915	+
1657	CP026831	1	2460622	2461636	-
1657	CP026831	1	3933207	3934235	-
1657	CP026831	1	3977994	3979008	+
1657	CP026831	1	4219450	4220464	-
1657	CP026831	1	4460204	4461218	+
1657	CP026831	1	4584849	4585864	+
1657	CP026830	1	43528	44543	+
1656	CP026831	1	132933	133945	+
1656	CP026831	1	303443	304454	-
1656	CP026831	1	325707	326720	-
1656	CP026831	1	746903	747914	+
1656	CP026831	1	1117680	1118693	-
1656	CP026831	1	1421838	1422848	-
1656	CP026831	1	1477331	1478343	+
1656	CP026831	1	1757921	1758934	-
1656	CP026831	1	1854009	1855022	-
1656	CP026831	1	2221630	2222643	-
1656	CP026831	1	2312273	2313284	-
1656	CP026831	1	2496886	2497898	+
1656	CP026831	1	4231650	4232663	-
1656	CP026831	1	4436414	4437426	+
1656	CP026831	1	4816289	4817301	+
1656	CP026830	1	145880	146892	+
1656	CP026830	1	147959	148972	-
1656	CP026830	1	156298	157311	-
1655	CP026831	1	85709	86720	+
1655	CP026831	1	437923	438936	+
1655	CP026831	1	518941	519954	+
1655	CP026831	1	593664	594677	+
1655	CP026831	1	677410	678421	-
1655	CP026831	1	1386051	1387064	+
1655	CP026831	1	2449349	2450363	-
1655	CP026831	1	3386263	3387277	-
1655	CP026831	1	3445634	3446648	-
1655	CP026831	1	4660565	4661578	+
1655	CP026830	1	18982	19996	-
1654	CP032513	1	2106273	2107961	+
1654	CP026827	1	1959787	1961475	+
1654	CP045784	1	295413	297101	+
1653	CP032513	1	2101365	2103874	+
1653	CP026827	1	1952345	1954854	+
1653	CP045784	1	290505	293014	+
1652	CP032513	1	2091479	2094842	+
1652	CP045784	1	278105	281476	+
1651	CP032513	1	2087432	2089319	+
1651	CP045784	1	274058	275945	+
1650	CP032513	1	1853318	1854433	+
1650	CP032513	1	3776050	3777165	+
1650	CP032513	1	4466652	4467766	-
1649	HE616528	1	2936904	2938407	+
1649	CP022457	1	3713987	3715489	-
1648	CP026840	1	4409479	4410819	+
1648	CP045784	1	4195045	4196385	-
1648	CP026825	1	3257754	3259094	+
1648	CP034935	1	322111	323451	-
1648	CP026834	1	490984	492324	+
1648	CP026805	1	606452	607792	+
1647	CP026840	1	1720190	1721335	+
1647	CP026828	1	563861	565006	+
1647	CP034935	1	3001911	3003056	-
1647	CP026834	1	2514157	2515302	+
1647	CP026805	1	2649077	2650222	+
1646	CP026840	1	895725	896749	+
1646	CP026840	1	1387810	1388812	+
1646	CP026840	1	4220956	4221982	-
1646	CP034935	1	278145	279158	-
1646	CP034935	1	492405	493417	+
1646	CP034935	1	505991	507002	+
1646	CP026834	1	307431	308442	-
1646	CP026834	1	321016	322029	-
1646	CP026834	1	533757	534769	+
1646	CP026805	1	650738	651750	+
1645	CP026840	1	639603	640614	+
1645	CP026840	1	1370093	1371102	+
1644	CP026840	1	172827	174215	+
1644	CP026877	1	1396382	1397770	+
1644	CP026845	1	4863237	4864625	+
1643	CP026826	1	128014	129213	+
1643	CP026827	1	305044	306238	-
1643	CP026827	1	1633648	1634843	+
1643	CP026827	1	4437764	4438954	+
1642	CP032523	1	4016044	4025536	+
1642	CP032523	1	4025538	4035055	+
1642	CP032523	1	4035056	4044542	+
1641	CP032523	1	238179	239717	+
1641	CP032523	1	746842	748375	-
1641	CP027027	1	155290	156823	-
1640	CP021144	1	4306491	4307607	+
1640	CP026825	1	1853017	1854133	+
1639	CP041620	1	3846734	3855716	+
1639	CP014768	1	3724726	3733708	-
1638	CP041620	1	3837459	3839414	+
1638	CP014768	1	3741139	3743081	-
1637	CP041620	1	3159494	3160547	+
1637	CP026831	1	4276205	4277255	-
1636	CP041620	1	3081904	3085500	+
1636	CP026831	1	4461219	4465737	+
1635	CP041620	1	3078244	3081903	+
1635	CP026831	1	4437747	4441405	-
1634	CP041620	1	2869367	2877836	+
1634	CP014768	1	128698	137179	-
1633	CP041620	1	2806857	2807976	+
1633	CP026831	1	4752772	4753892	-
1632	CP041620	1	2786023	2787511	+
1632	CP026831	1	4774921	4776449	-
1632	CP014768	1	219903	221431	-
1631	CP041620	1	2705163	2707256	+
1631	CP026831	1	4817661	4819762	-
1630	CP041620	1	2504509	2508352	+
1630	CP026827	1	4123307	4127149	+
1630	CP014768	1	434389	438233	-
1629	CP041620	1	2501476	2504507	+
1629	CP014768	1	438234	441266	-
1628	CP041620	1	2245227	2248663	+
1628	CP014768	1	634352	637777	-
1628	CP026768	1	2635503	2638937	-
1627	CP041620	1	2191734	2201921	+
1627	CP014768	1	654876	665060	-
1626	CP041620	1	2072922	2076778	+
1626	CP026831	1	444321	448134	+
1625	CP041620	1	1967935	1969792	+
1625	CP026831	1	556498	558365	-
1624	CP041620	1	1366074	1368845	+
1624	CP026831	1	3156325	3159095	+
1623	CP041620	1	1359665	1366072	+
1623	CP026831	1	3148311	3154721	+
1622	CP041620	1	730267	731317	+
1622	CP026831	1	2936661	2937726	+
1621	CP041620	1	686159	688008	+
1621	CP041620	1	882691	884540	+
1620	CP041620	1	516120	517224	+
1620	CP041620	1	523252	524356	+
1620	CP041620	1	1821456	1822560	+
1620	CP041620	1	1827294	1828398	+
1619	AF386526	1	196681	197691	+
