index	block	species	chr	chr_beg	chr_end	orientation
84900	531	GCA_000092525	1	1325294	1327421	+
442363	1362	GCA_000092525	1	1347008	1348077	-
85314	532	GCA_000092525	1	1349373	1353675	+
54264	358	GCA_000092525	1	2758207	2771124	-
442298	1360	GCA_000092525	1	2804578	2805761	-
53850	347	GCA_000092525	1	2845634	2847309	-
85176	531	GCA_001518855	1	1327391	1329518	+
442392	1362	GCA_001518855	1	1349104	1350173	-
85590	532	GCA_001518855	1	1351469	1355771	+
54540	358	GCA_001518855	1	2760421	2773338	-
442340	1360	GCA_001518855	1	2806783	2807966	-
54126	347	GCA_001518855	1	2847844	2849519	-
54073	347	GCA_001558295	2	1	1615	+
442337	1360	GCA_001558295	2	41492	42676	+
54487	358	GCA_001558295	2	76121	89038	+
85537	532	GCA_001558295	2	1497469	1501771	-
442388	1362	GCA_001558295	2	1503067	1504135	+
85123	531	GCA_001558295	2	1523722	1525849	-
85115	531	GCA_002142635	1	442146	444273	+
442387	1362	GCA_002142635	1	463272	464341	-
85529	532	GCA_002142635	1	465637	469939	+
54479	358	GCA_002142635	1	1878192	1891109	-
442336	1360	GCA_002142635	1	1924552	1925735	-
54065	347	GCA_002142635	1	1965612	1967287	-
54245	358	GCA_002150905	1	635355	648272	-
442294	1360	GCA_002150905	1	681717	682900	-
53831	347	GCA_002150905	1	722775	724450	-
84881	531	GCA_002150905	1	4024839	4026966	+
442360	1362	GCA_002150905	1	4046552	4047621	-
85295	532	GCA_002150905	1	4048917	4053219	+
54088	347	GCA_002224465	1	3545	5219	+
442338	1360	GCA_002224465	1	45092	46276	+
54502	358	GCA_002224465	1	79719	92635	+
85552	532	GCA_002224465	1	1492444	1496746	-
442389	1362	GCA_002224465	1	1498042	1499110	+
85138	531	GCA_002224465	1	1518696	1520823	-
84968	531	GCA_002224605	1	315756	317883	+
442369	1362	GCA_002224605	1	336692	337761	-
85382	532	GCA_002224605	1	339057	343359	+
54332	358	GCA_002224605	1	1761204	1774121	-
442308	1360	GCA_002224605	1	1807563	1808746	-
53918	347	GCA_002224605	1	1848622	1850297	-
113120	857	GCA_002224605	1	4348617	4350215	+
442331	1360	GCA_002224625	1	7750	8933	-
54043	347	GCA_002224625	1	48806	50481	-
85093	531	GCA_002224625	1	3352499	3354626	+
442384	1362	GCA_002224625	1	3374211	3375280	-
85507	532	GCA_002224625	1	3376576	3380878	+
53934	347	GCA_002442535	1	976922	978597	+
442311	1360	GCA_002442535	1	1018474	1019658	+
54348	358	GCA_002442535	1	1053103	1066020	+
85398	532	GCA_002442535	1	2474669	2478971	-
442371	1362	GCA_002442535	1	2480267	2481335	+
84984	531	GCA_002442535	1	2500922	2503049	-
85031	531	GCA_003265245	1	2059551	2061678	+
442377	1362	GCA_003265245	1	2080487	2081556	-
85445	532	GCA_003265245	1	2082852	2087154	+
54395	358	GCA_003265245	1	3521704	3534621	-
442321	1360	GCA_003265245	1	3568066	3569249	-
53981	347	GCA_003265245	1	3610463	3612138	-
53861	347	GCA_003855115	1	3027191	3028866	+
442303	1360	GCA_003855115	1	3068753	3069937	+
54275	358	GCA_003855115	1	3103382	3116299	+
85325	532	GCA_003855115	1	4522366	4526668	-
442366	1362	GCA_003855115	1	4527964	4529032	+
84911	531	GCA_003855115	1	4548618	4550745	-
