index	block	species	chr	chr_beg	chr_end	orientation
88777	541	GCA_000012005	1	1802360	1807115	-
442380	1362	GCA_000012005	1	1815875	1816935	+
111547	701	GCA_000012005	1	1824996	1826325	+
54415	358	GCA_000012005	1	2518596	2531384	-
442325	1360	GCA_000012005	1	2554919	2556102	-
51517	339	GCA_000012005	1	2562932	2566789	+
88732	541	GCA_000497505	1	1763885	1768565	-
442373	1362	GCA_000497505	1	1777077	1778137	+
111502	701	GCA_000497505	1	1785733	1787062	+
54370	358	GCA_000497505	1	2473211	2485999	-
442314	1360	GCA_000497505	1	2509528	2510711	-
51472	339	GCA_000497505	1	2516963	2520733	+
